OBJECTID,DESCRIPTION,ID,ECYCDOCO,ECYCDOCO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
196,"H3T (Montreal, QC)",H3T,1241,17.47,17.47,3607516.5,8899.065890536858,1753800183770,Synapse54,1753800183770,Synapse54
197,"H3V (Montreal, QC)",H3V,778,19.07,19.07,3676769.0,9340.08432806038,1753800183770,Synapse54,1753800183770,Synapse54
198,"H3W (Montreal, QC)",H3W,1477,11.05,11.05,5569083.5,12464.00419712417,1753800183770,Synapse54,1753800183770,Synapse54
199,"H3X (Montreal, QC)",H3X,1819,16.73,16.73,8676070.0,13038.712105834822,1753800183770,Synapse54,1753800183770,Synapse54
200,"H3Y (Montreal, QC)",H3Y,304,7.68,7.68,5680936.5,10400.46779440301,1753800183770,Synapse54,1753800183770,Synapse54
201,"H3Z (Montreal, QC)",H3Z,1555,28.73,28.73,2971245.0,7979.12833061372,1753800183770,Synapse54,1753800183770,Synapse54
202,"H4A (Montreal, QC)",H4A,1885,15.22,15.22,6339669.0,10830.775097279686,1753800183770,Synapse54,1753800183770,Synapse54
203,"H4B (Montreal, QC)",H4B,1399,12.13,12.13,5495449.5,11430.593825626274,1753800183770,Synapse54,1753800183770,Synapse54
204,"H4C (Montreal, QC)",H4C,3300,32.58,32.58,10079054.5,19231.90024241674,1753800183770,Synapse54,1753800183770,Synapse54
205,"H4E (Montreal, QC)",H4E,2757,17.39,17.39,10446763.5,18116.080205740356,1753800183770,Synapse54,1753800183770,Synapse54
206,"H4G (Verdun, QC)",H4G,3835,22.99,22.99,6200126.5,10435.627645908377,1753800183770,Synapse54,1753800183770,Synapse54
207,"H4H (Verdun, QC)",H4H,732,8.19,8.19,6500184.5,11023.978149390903,1753800183770,Synapse54,1753800183770,Synapse54
208,"H4J (Montreal, QC)",H4J,1303,17.01,17.01,6400914.5,12111.703398579217,1753800183770,Synapse54,1753800183770,Synapse54
209,"H4K (Montreal, QC)",H4K,177,4.36,4.36,10268900.0,15365.586434704945,1753800183770,Synapse54,1753800183770,Synapse54
210,"H4L (Montreal, QC)",H4L,4869,31.71,31.71,10499306.5,13425.367090877367,1753800183770,Synapse54,1753800183770,Synapse54
211,"H4M (Montreal, QC)",H4M,1234,24.52,24.52,6193041.5,11376.386905744941,1753800183770,Synapse54,1753800183770,Synapse54
212,"H4N (Montreal, QC)",H4N,5134,39.53,39.53,11515200.0,17692.530830513202,1753800183770,Synapse54,1753800183770,Synapse54
213,"H4P (Montreal, QC)",H4P,3126,63.04,63.04,7616644.5,13917.162705093007,1753800183770,Synapse54,1753800183770,Synapse54
214,"H4R (Montreal, QC)",H4R,5265,41.9,41.9,19778627.5,19925.041667183443,1753800183770,Synapse54,1753800183770,Synapse54
215,"H4S (Montreal, QC)",H4S,48,29.63,29.63,25736787.0,27350.179631335064,1753800183770,Synapse54,1753800183770,Synapse54
216,"H4T (Montreal, QC)",H4T,8,61.54,61.54,12913673.5,17286.679172996657,1753800183770,Synapse54,1753800183770,Synapse54
217,"H4V (Montreal, QC)",H4V,981,10.77,10.77,4860370.5,9490.823388671204,1753800183770,Synapse54,1753800183770,Synapse54
218,"H4W (Montreal, QC)",H4W,3619,31.29,31.29,15741448.0,18055.60507168441,1753800183770,Synapse54,1753800183770,Synapse54
219,"H4X (Montreal, QC)",H4X,200,7.21,7.21,3272580.5,9711.337741501437,1753800183770,Synapse54,1753800183770,Synapse54
220,"H4Y (Pointe-Claire-Dorval, QC)",H4Y,0,0.0,0.0,13605865.0,21906.491759391112,1753800183770,Synapse54,1753800183770,Synapse54
221,"H4Z (Montreal, QC)",H4Z,23,100.0,100.0,48269.5,1084.0077881690113,1753800183770,Synapse54,1753800183770,Synapse54
222,"H5A (Montreal, QC)",H5A,0,0.0,0.0,70328.5,1077.3693943590201,1753800183770,Synapse54,1753800183770,Synapse54
223,"H5B (Montreal, QC)",H5B,29,90.63,90.63,69225.0,1241.39561389562,1753800183770,Synapse54,1753800183770,Synapse54
224,"H7A (Laval, QC)",H7A,936,12.05,12.05,55986161.0,35792.476329694015,1753800183770,Synapse54,1753800183770,Synapse54
225,"H7B (Laval, QC)",H7B,56,5.26,5.26,12833492.0,19465.102961418776,1753800183770,Synapse54,1753800183770,Synapse54
226,"H7C (Laval, QC)",H7C,383,10.66,10.66,26706438.0,33344.532757897236,1753800183770,Synapse54,1753800183770,Synapse54
227,"H7E (Laval, QC)",H7E,1197,11.34,11.34,58603236.5,49715.749208773435,1753800183770,Synapse54,1753800183770,Synapse54
228,"H7G (Laval, QC)",H7G,1459,16.06,16.06,12923832.5,19204.029301455565,1753800183770,Synapse54,1753800183770,Synapse54
229,"H7H (Laval, QC)",H7H,591,11.76,11.76,15956758.0,19199.605061874256,1753800183770,Synapse54,1753800183770,Synapse54
230,"H7J (Laval, QC)",H7J,34,3.9,3.9,53323302.0,33198.313020576155,1753800183770,Synapse54,1753800183770,Synapse54
231,"H7K (Laval, QC)",H7K,1358,15.56,15.56,30865320.0,25890.412217277662,1753800183770,Synapse54,1753800183770,Synapse54
232,"H7L (Laval, QC)",H7L,1171,8.25,8.25,44625160.0,29614.545742793118,1753800183770,Synapse54,1753800183770,Synapse54
233,"H7M (Laval, QC)",H7M,1200,11.01,11.01,21060041.0,20135.878363934327,1753800183770,Synapse54,1753800183770,Synapse54
234,"H7N (Laval, QC)",H7N,5281,24.23,24.23,22733173.5,31142.9739798465,1753800183770,Synapse54,1753800183770,Synapse54
235,"H7P (Laval, QC)",H7P,3093,21.04,21.04,39418609.5,29119.748261948425,1753800183770,Synapse54,1753800183770,Synapse54
236,"H7R (Laval, QC)",H7R,1187,9.82,9.82,39328921.5,33526.83151448517,1753800183770,Synapse54,1753800183770,Synapse54
237,"H7S (Laval, QC)",H7S,828,24.15,24.15,10962382.0,13461.308964386186,1753800183770,Synapse54,1753800183770,Synapse54
238,"H7T (Laval, QC)",H7T,5069,43.18,43.18,19220992.5,21847.72561749218,1753800183770,Synapse54,1753800183770,Synapse54
239,"H7V (Laval, QC)",H7V,2279,21.39,21.39,13084368.0,17090.83415240245,1753800183770,Synapse54,1753800183770,Synapse54
240,"H7W (Laval, QC)",H7W,4497,25.57,25.57,21296664.5,20542.33134907331,1753800183770,Synapse54,1753800183770,Synapse54
241,"H7X (Laval, QC)",H7X,1421,14.29,14.29,31137712.0,25106.867662548826,1753800183770,Synapse54,1753800183770,Synapse54
242,"H7Y (Laval, QC)",H7Y,418,11.79,11.79,14444971.0,18869.75173232823,1753800183770,Synapse54,1753800183770,Synapse54
243,"H8N (Lasalle, QC)",H8N,4126,28.59,28.59,14389471.0,18103.010513945057,1753800183770,Synapse54,1753800183770,Synapse54
244,"H8P (Lasalle, QC)",H8P,802,7.48,7.48,21862717.5,20668.285538772176,1753800183770,Synapse54,1753800183770,Synapse54
245,"H8R (Lasalle, QC)",H8R,1658,11.63,11.63,18116586.5,27293.21202861797,1753800183770,Synapse54,1753800183770,Synapse54
246,"H8S (Lasalle, QC)",H8S,2888,22.55,22.55,19856874.0,24144.754425147134,1753800183770,Synapse54,1753800183770,Synapse54
247,"H8T (Pointe-Claire-Dorval, QC)",H8T,935,14.41,14.41,21610415.0,20729.17122189251,1753800183770,Synapse54,1753800183770,Synapse54
248,"H8Y (Roxboro, QC)",H8Y,1090,14.5,14.5,14039619.0,22252.616674527148,1753800183770,Synapse54,1753800183770,Synapse54
249,"H8Z (Roxboro, QC)",H8Z,1212,20.64,20.64,11082242.5,14451.759662340886,1753800183770,Synapse54,1753800183770,Synapse54
250,"H9A (Pierrefonds, QC)",H9A,526,8.49,8.49,9353959.0,13155.163982221264,1753800183770,Synapse54,1753800183770,Synapse54
251,"H9B (Roxboro, QC)",H9B,2047,26.4,26.4,14796114.0,18421.91025899604,1753800183770,Synapse54,1753800183770,Synapse54
252,"H9C (Pierrefonds, QC)",H9C,150,3.5,3.5,24503744.5,20531.792890304176,1753800183770,Synapse54,1753800183770,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,33,2.54,2.54,42250333.0,27083.5790617143,1753800183770,Synapse54,1753800183770,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,941,15.9,15.9,8457140.5,12464.539249179079,1753800183770,Synapse54,1753800183770,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,1480,15.37,15.37,19613903.5,23879.67204388559,1753800183770,Synapse54,1753800183770,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,566,7.26,7.26,17167469.0,23970.816444803262,1753800183770,Synapse54,1753800183770,Synapse54
257,"H9K (Pierrefonds, QC)",H9K,508,15.34,15.34,30500131.5,26824.382930325875,1753800183770,Synapse54,1753800183770,Synapse54
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,125,7.84,7.84,19498535.0,39692.170261991225,1753800183770,Synapse54,1753800183770,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,1653,15.31,15.31,29882299.5,25305.84671237734,1753800183770,Synapse54,1753800183770,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,1889,16.96,16.96,78965867.0,44171.880466646624,1753800183770,Synapse54,1753800183770,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,348,4.89,4.89,43852698.0,28888.96518701168,1753800183770,Synapse54,1753800183770,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,296,7.46,7.46,73291956.5,35517.603411509444,1753800183770,Synapse54,1753800183770,Synapse54
263,"J0A (Warwick, QC)",J0A,186,2.18,2.18,2834357143.0,359358.8229727042,1753800183770,Synapse54,1753800183770,Synapse54
264,"J0B (Richmond, QC)",J0B,754,2.57,2.57,10667378133.5,1065896.4278918828,1753800183770,Synapse54,1753800183770,Synapse54
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,263,2.65,2.65,2217789273.0,543899.6487326861,1753800183770,Synapse54,1753800183770,Synapse54
266,"J0E (Waterloo, QC)",J0E,1079,4.23,4.23,4549634499.230469,648394.7017630582,1753800183770,Synapse54,1753800183770,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,208,2.44,2.44,2514787680.5,333340.5205009883,1753800183770,Synapse54,1753800183770,Synapse54
268,"J0H (Acton Vale, QC)",J0H,915,3.99,3.99,4017334345.9570312,538883.6400762808,1753800183770,Synapse54,1753800183770,Synapse54
269,"J0J (Napierville, QC)",J0J,513,2.79,2.79,3163504441.4609375,385870.6950955986,1753800183770,Synapse54,1753800183770,Synapse54
270,"J0K (Rawdon, QC)",J0K,2785,3.74,3.74,29697039721.0,1406950.3334880418,1753800183770,Synapse54,1753800183770,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,3299,8.57,8.57,2780902762.0429688,596544.2844540038,1753800183770,Synapse54,1753800183770,Synapse54
272,"J0M (Chisasibi, QC)",J0M,303,4.34,4.34,2507274503756.0,24396187.397056405,1753800183770,Synapse54,1753800183770,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,1862,11.86,11.86,341790001.0,92049.64421828423,1753800183770,Synapse54,1753800183770,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,1112,6.01,6.01,1320873265.0,299819.56036801497,1753800183770,Synapse54,1753800183770,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,1881,9.93,9.93,549507968.0,153164.86554496005,1753800183770,Synapse54,1753800183770,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,780,4.86,4.86,3261392891.5,373681.8522427627,1753800183770,Synapse54,1753800183770,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,791,2.8,2.8,10294024616.5,948593.2698027412,1753800183770,Synapse54,1753800183770,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,493,3.64,3.64,5169637352.5,604696.2148960141,1753800183770,Synapse54,1753800183770,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,242,2.77,2.77,72760667284.5,2116484.49890364,1753800183770,Synapse54,1753800183770,Synapse54
280,"J0X (Wakefield, QC)",J0X,679,3.05,3.05,18401542242.5,1302599.5812032141,1753800183770,Synapse54,1753800183770,Synapse54
281,"J0Y (Malartic, QC)",J0Y,493,4.28,4.28,223534310999.0,3278730.6722274064,1753800183770,Synapse54,1753800183770,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,517,3.43,3.43,59867601510.0,2216439.0400546975,1753800183770,Synapse54,1753800183770,Synapse54
283,"J1A (Coaticook, QC)",J1A,207,4.69,4.69,568143726.5,138682.11350637994,1753800183770,Synapse54,1753800183770,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,101,3.53,3.53,148314795.5,58854.95341782354,1753800183770,Synapse54,1753800183770,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,1157,8.57,8.57,36392307.5,31305.785200373433,1753800183770,Synapse54,1753800183770,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,610,6.4,6.4,23722537.5,26568.26494121696,1753800183770,Synapse54,1753800183770,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,1855,10.79,10.79,90156997.5,95524.0591322304,1753800183770,Synapse54,1753800183770,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,1194,15.35,15.35,14850239.5,21529.415696903085,1753800183770,Synapse54,1753800183770,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,326,8.75,8.75,14646372.0,20632.820225363073,1753800183770,Synapse54,1753800183770,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,1510,18.45,18.45,27073074.0,24825.97616578884,1753800183770,Synapse54,1753800183770,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,133,4.75,4.75,66319442.5,51850.27975629163,1753800183770,Synapse54,1753800183770,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,1220,7.95,7.95,196798113.5,75865.43435097949,1753800183770,Synapse54,1753800183770,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,123,2.63,2.63,129969730.0,55500.89678544112,1753800183770,Synapse54,1753800183770,Synapse54
294,"J1S (Windsor, QC)",J1S,200,5.7,5.7,306725365.5,94080.75320925176,1753800183770,Synapse54,1753800183770,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,239,5.8,5.8,94108625.0,49846.76465177346,1753800183770,Synapse54,1753800183770,Synapse54
296,"J1X (Magog, QC)",J1X,2241,13.09,13.09,728921445.0,201253.21200864858,1753800183770,Synapse54,1753800183770,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,85,3.71,3.71,352999380.0,123836.95765720992,1753800183770,Synapse54,1753800183770,Synapse54
298,"J2A (Drummondville, QC)",J2A,168,3.16,3.16,210419353.0,83920.96306970775,1753800183770,Synapse54,1753800183770,Synapse54
299,"J2B (Drummondville, QC)",J2B,1114,6.73,6.73,262759591.40234375,162201.91283563137,1753800183770,Synapse54,1753800183770,Synapse54
300,"J2C (Drummondville, QC)",J2C,1578,10.42,10.42,46328225.59765625,41604.1853996451,1753800183770,Synapse54,1753800183770,Synapse54
301,"J2E (Drummondville, QC)",J2E,156,7.38,7.38,18350789.5,28926.839340474853,1753800183770,Synapse54,1753800183770,Synapse54
302,"J2G (Granby, QC)",J2G,1483,10.08,10.08,27125065.5,40964.248286282396,1753800183770,Synapse54,1753800183770,Synapse54
303,"J2H (Granby, QC)",J2H,1062,10.79,10.79,136788271.0,82651.78876586944,1753800183770,Synapse54,1753800183770,Synapse54
304,"J2J (Granby, QC)",J2J,998,10.99,10.99,158975426.5,75483.31166212616,1753800183770,Synapse54,1753800183770,Synapse54
305,"J2K (Cowansville, QC)",J2K,758,8.29,8.29,327067186.0,107161.13325887192,1753800183770,Synapse54,1753800183770,Synapse54
306,"J2L (Bromont, QC)",J2L,1277,21.53,21.53,230068726.0,81624.30958657779,1753800183770,Synapse54,1753800183770,Synapse54
307,"J2M (Shefford, QC)",J2M,40,1.27,1.27,242332781.2734375,116121.4987637872,1753800183770,Synapse54,1753800183770,Synapse54
308,"J2N (Farnham, QC)",J2N,436,8.72,8.72,187541869.5,67299.99265741695,1753800183770,Synapse54,1753800183770,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,331,7.67,7.67,202913088.0,104737.13437793839,1753800183770,Synapse54,1753800183770,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,2233,14.57,14.57,64473264.0,73386.10579135851,1753800183770,Synapse54,1753800183770,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,1128,13.82,13.82,91771688.0,53456.23963708392,1753800183770,Synapse54,1753800183770,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,1131,9.58,9.58,103463004.5,59571.138073747235,1753800183770,Synapse54,1753800183770,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,699,7.8,7.8,145676986.0,80102.73759580929,1753800183770,Synapse54,1753800183770,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,26,1.13,1.13,146400386.17578125,73826.30271667863,1753800183770,Synapse54,1753800183770,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,705,13.54,13.54,6186209.0,11188.578319190965,1753800183770,Synapse54,1753800183770,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,1917,11.8,11.8,95704303.5,54381.46319865555,1753800183770,Synapse54,1753800183770,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,1433,11.79,11.79,105827610.5,60902.63170645707,1753800183770,Synapse54,1753800183770,Synapse54
318,"J3G (Beloeil, QC)",J3G,1917,12.86,12.86,171490984.5,98109.63892656052,1753800183770,Synapse54,1753800183770,Synapse54
319,"J3H (Beloeil, QC)",J3H,1527,13.66,13.66,80996367.5,55540.40786090735,1753800183770,Synapse54,1753800183770,Synapse54
320,"J3L (Chambly, QC)",J3L,3088,13.75,13.75,364093398.0,124754.83820581688,1753800183770,Synapse54,1753800183770,Synapse54
321,"J3M (Marieville, QC)",J3M,551,11.22,11.22,126097256.5,55752.50302456562,1753800183770,Synapse54,1753800183770,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,1068,15.81,15.81,74736126.0,37659.20099111866,1753800183770,Synapse54,1753800183770,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,666,5.23,5.23,211886795.0,80652.39762505802,1753800183770,Synapse54,1753800183770,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,600,8.11,8.11,57862738.0,40488.46821105956,1753800183770,Synapse54,1753800183770,Synapse54
325,"J3T (Nicolet, QC)",J3T,279,7.19,7.19,271606732.5,71484.12258274788,1753800183770,Synapse54,1753800183770,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,1493,13.89,13.89,90158805.5,51396.92313356961,1753800183770,Synapse54,1753800183770,Synapse54
327,"J3X (Varennes, QC)",J3X,1069,12.28,12.28,232058892.5,71561.3428539275,1753800183770,Synapse54,1753800183770,Synapse54
328,"J3Y (Saint-Hubert, QC)",J3Y,5528,19.56,19.56,101336037.0,100201.13539228243,1753800183770,Synapse54,1753800183770,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,228,11.67,11.67,22454206.0,63608.93575532092,1753800183770,Synapse54,1753800183770,Synapse54
330,"J4B (Boucherville, QC)",J4B,3576,20.21,20.21,170076124.5,59886.44585342009,1753800183770,Synapse54,1753800183770,Synapse54
331,"J4G (Longueuil, QC)",J4G,1180,23.43,23.43,25356829.5,23719.52752698455,1753800183770,Synapse54,1753800183770,Synapse54
332,"J4H (Longueuil, QC)",J4H,1573,18.62,18.62,11650935.0,15524.513087115087,1753800183770,Synapse54,1753800183770,Synapse54
333,"J4J (Longueuil, QC)",J4J,2223,14.28,14.28,15351226.5,21930.353895068798,1753800183770,Synapse54,1753800183770,Synapse54
334,"J4K (Longueuil, QC)",J4K,2755,20.18,20.18,12801059.0,20426.997549827258,1753800183770,Synapse54,1753800183770,Synapse54
335,"J4L (Longueuil, QC)",J4L,2236,15.23,15.23,14765810.5,16776.5326873664,1753800183770,Synapse54,1753800183770,Synapse54
336,"J4M (Longueuil, QC)",J4M,730,14.09,14.09,10545973.0,20915.15150342213,1753800183770,Synapse54,1753800183770,Synapse54
337,"J4N (Longueuil, QC)",J4N,2928,54.68,54.68,9982414.5,18319.159231838094,1753800183770,Synapse54,1753800183770,Synapse54
338,"J4P (Longueuil, QC)",J4P,1333,23.15,23.15,6998059.0,12458.778436344583,1753800183770,Synapse54,1753800183770,Synapse54
339,"J4R (Longueuil, QC)",J4R,999,19.68,19.68,5607448.0,11472.375668491168,1753800183770,Synapse54,1753800183770,Synapse54
340,"J4S (Longueuil, QC)",J4S,1491,47.11,47.11,4293595.5,10044.635885759557,1753800183770,Synapse54,1753800183770,Synapse54
341,"J4T (Saint-Hubert, QC)",J4T,1363,14.93,14.93,8655769.0,12531.329908587128,1753800183770,Synapse54,1753800183770,Synapse54
342,"J4V (Longueuil, QC)",J4V,1212,15.94,15.94,9874770.0,19495.60469716676,1753800183770,Synapse54,1753800183770,Synapse54
343,"J4W (Longueuil, QC)",J4W,1140,15.54,15.54,11512935.0,16336.628676963564,1753800183770,Synapse54,1753800183770,Synapse54
344,"J4X (Longueuil, QC)",J4X,2917,37.18,37.18,13216489.5,15198.092586417742,1753800183770,Synapse54,1753800183770,Synapse54
345,"J4Y (Longueuil, QC)",J4Y,4129,38.82,38.82,21259495.5,19670.691530096043,1753800183770,Synapse54,1753800183770,Synapse54
346,"J4Z (Longueuil, QC)",J4Z,3873,30.57,30.57,42442433.5,36399.19983850107,1753800183770,Synapse54,1753800183770,Synapse54
347,"J5A (Saint-Constant, QC)",J5A,1795,14.45,14.45,123489244.5,53706.37543156535,1753800183770,Synapse54,1753800183770,Synapse54
348,"J5B (Delson, QC)",J5B,315,9.72,9.72,13765665.5,25868.554957637258,1753800183770,Synapse54,1753800183770,Synapse54
349,"J5C (Sainte-Catherine, QC)",J5C,1194,16.91,16.91,20056189.5,22328.89425891819,1753800183770,Synapse54,1753800183770,Synapse54
350,"J5J (Sainte-Sophie, QC)",J5J,321,4.08,4.08,230905181.0,66651.47964912902,1753800183770,Synapse54,1753800183770,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,133,1.87,1.87,193780426.5,69823.6154247918,1753800183770,Synapse54,1753800183770,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,1136,11.5,11.5,95796285.0,58040.91698594175,1753800183770,Synapse54,1753800183770,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,549,5.37,5.37,245439917.0,79215.19535436288,1753800183770,Synapse54,1753800183770,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,624,9.66,9.66,190530835.0,58815.89393433861,1753800183770,Synapse54,1753800183770,Synapse54
355,"J5R (La Prairie, QC)",J5R,4578,21.76,21.76,116490762.5,83791.09209902641,1753800183770,Synapse54,1753800183770,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,434,6.84,6.84,154486438.5,59411.55582605956,1753800183770,Synapse54,1753800183770,Synapse54
357,"J5V (Louiseville, QC)",J5V,230,6.15,6.15,506748881.0,179854.3461791025,1753800183770,Synapse54,1753800183770,Synapse54
358,"J5W (L'assomption, QC)",J5W,1187,10.5,10.5,332828346.5,103350.78663938354,1753800183770,Synapse54,1753800183770,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,253,6.85,6.85,93137482.5,61537.5779427655,1753800183770,Synapse54,1753800183770,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,2053,18.01,18.01,22356230.5,21230.469901767003,1753800183770,Synapse54,1753800183770,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,2167,18.08,18.08,78014581.0,40720.846170485005,1753800183770,Synapse54,1753800183770,Synapse54
362,"J6A (Repentigny, QC)",J6A,2328,15.46,15.46,48655375.5,39943.850012514275,1753800183770,Synapse54,1753800183770,Synapse54
363,"J6E (Joliette, QC)",J6E,2167,9.43,9.43,137214208.0,95275.2587794035,1753800183770,Synapse54,1753800183770,Synapse54
364,"J6J (Chateauguay, QC)",J6J,461,4.41,4.41,74217052.0,72123.22068999698,1753800183770,Synapse54,1753800183770,Synapse54
365,"J6K (Chateauguay, QC)",J6K,1276,12.5,12.5,20188406.0,28536.15419577854,1753800183770,Synapse54,1753800183770,Synapse54
366,"J6N (Beauharnois, QC)",J6N,694,8.99,8.99,233462281.0,99024.33793574793,1753800183770,Synapse54,1753800183770,Synapse54
367,"J6R (Mercier, QC)",J6R,585,10.14,10.14,115347180.0,49311.90260299979,1753800183770,Synapse54,1753800183770,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,1145,9.27,9.27,210261044.5,73467.37727321035,1753800183770,Synapse54,1753800183770,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,927,10.1,10.1,46981135.0,36756.956833154014,1753800183770,Synapse54,1753800183770,Synapse54
370,"J6V (Terrebonne, QC)",J6V,1599,27.16,27.16,60800572.0,35889.68273881664,1753800183770,Synapse54,1753800183770,Synapse54
371,"J6W (Terrebonne, QC)",J6W,1859,13.02,13.02,39136671.0,33325.59650886826,1753800183770,Synapse54,1753800183770,Synapse54
372,"J6X (Terrebonne, QC)",J6X,963,9.99,9.99,60225849.5,43095.169343531845,1753800183770,Synapse54,1753800183770,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,1114,12.95,12.95,81550557.0,61201.9952124608,1753800183770,Synapse54,1753800183770,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,1047,13.11,13.11,22537924.0,22963.79436186629,1753800183770,Synapse54,1753800183770,Synapse54
375,"J7A (Rosemere, QC)",J7A,465,8.49,8.49,24339416.5,22941.14213233615,1753800183770,Synapse54,1753800183770,Synapse54
376,"J7B (Boisbriand, QC)",J7B,143,3.14,3.14,14667986.5,16792.064136555553,1753800183770,Synapse54,1753800183770,Synapse54
377,"J7C (Boisbriand, QC)",J7C,2970,15.67,15.67,94216134.5,48996.310543076004,1753800183770,Synapse54,1753800183770,Synapse54
378,"J7E (Boisbriand, QC)",J7E,3342,23.74,23.74,38942666.0,66768.75062873606,1753800183770,Synapse54,1753800183770,Synapse54
379,"J7G (Boisbriand, QC)",J7G,831,10.91,10.91,24826343.0,22844.466974416475,1753800183770,Synapse54,1753800183770,Synapse54
380,"J7H (Boisbriand, QC)",J7H,1023,27.19,27.19,18524557.5,29683.633390851617,1753800183770,Synapse54,1753800183770,Synapse54
381,"J7J (Boisbriand, QC)",J7J,2515,19.56,19.56,216897455.5,103444.96666308724,1753800183770,Synapse54,1753800183770,Synapse54
382,"J7K (Terrebonne, QC)",J7K,4063,25.85,25.85,193069363.5,83975.60969421153,1753800183770,Synapse54,1753800183770,Synapse54
383,"J7L (Terrebonne, QC)",J7L,369,6.55,6.55,28664221.0,25040.678807417222,1753800183770,Synapse54,1753800183770,Synapse54
384,"J7M (Terrebonne, QC)",J7M,822,9.23,9.23,82543767.0,48321.76398543206,1753800183770,Synapse54,1753800183770,Synapse54
385,"J7N (Boisbriand, QC)",J7N,2162,14.31,14.31,781900527.5,198254.3737699631,1753800183770,Synapse54,1753800183770,Synapse54
386,"J7P (Saint-Eustache, QC)",J7P,1874,16.98,16.98,34525041.5,29797.38514106549,1753800183770,Synapse54,1753800183770,Synapse54
387,"J7R (Saint-Eustache, QC)",J7R,1473,9.4,9.4,124808411.0,71490.55014073827,1753800183770,Synapse54,1753800183770,Synapse54
388,"J7T (Vaudreuil-Dorion, QC)",J7T,469,4.22,4.22,297651983.5,93415.04234638221,1753800183770,Synapse54,1753800183770,Synapse54
389,"J7V (Vaudreuil-Dorion, QC)",J7V,5617,19.38,19.38,362449115.0,152968.31394129083,1753800183770,Synapse54,1753800183770,Synapse54
